Bulge+Disk Morphological Measurements & Photometry
Click to expand
Column Name	Description
mag_err_model_bd_total_sc-ia527	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ia624	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ia679	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ia738	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ia767	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ib427	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ib505	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ib574	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ib709	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-ib827	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-nb711	Total B+D model AB magnitude error
mag_err_model_bd_total_sc-nb816	Total B+D model AB magnitude error
mag_model_bulge_hst-f814w	Bulge component model AB magnitude
mag_model_bulge_f770w	Bulge component model AB magnitude
mag_model_bulge_cfht-u	Bulge component model AB magnitude
mag_model_bulge_hsc-g	Bulge component model AB magnitude
mag_model_bulge_hsc-r	Bulge component model AB magnitude
mag_model_bulge_hsc-i	Bulge component model AB magnitude
mag_model_bulge_hsc-z	Bulge component model AB magnitude
mag_model_bulge_hsc-y	Bulge component model AB magnitude
mag_model_bulge_hsc-nb0816	Bulge component model AB magnitude
mag_model_bulge_hsc-nb0921	Bulge component model AB magnitude
mag_model_bulge_hsc-nb1010	Bulge component model AB magnitude
mag_model_bulge_uvista-y	Bulge component model AB magnitude
mag_model_bulge_uvista-j	Bulge component model AB magnitude
mag_model_bulge_uvista-h	Bulge component model AB magnitude
mag_model_bulge_uvista-ks	Bulge component model AB magnitude
mag_model_bulge_sc-ia484	Bulge component model AB magnitude
mag_model_bulge_sc-ia527	Bulge component model AB magnitude
mag_model_bulge_sc-ia624	Bulge component model AB magnitude
mag_model_bulge_sc-ia679	Bulge component model AB magnitude
mag_model_bulge_sc-ia738	Bulge component model AB magnitude
mag_model_bulge_sc-ia767	Bulge component model AB magnitude
mag_model_bulge_sc-ib427	Bulge component model AB magnitude
mag_model_bulge_sc-ib505	Bulge component model AB magnitude
mag_model_bulge_sc-ib574	Bulge component model AB magnitude
mag_model_bulge_sc-ib709	Bulge component model AB magnitude
mag_model_bulge_sc-ib827	Bulge component model AB magnitude
mag_model_bulge_sc-nb711	Bulge component model AB magnitude
mag_model_bulge_sc-nb816	Bulge component model AB magnitude
mag_err_model_bulge_hst-f814w	Bulge component model AB magnitude error
mag_err_model_bulge_f770w	Bulge component model AB magnitude error
mag_err_model_bulge_cfht-u	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-g	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-r	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-i	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-z	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-y	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-nb0816	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-nb0921	Bulge component model AB magnitude error
mag_err_model_bulge_hsc-nb1010	Bulge component model AB magnitude error
mag_err_model_bulge_uvista-y	Bulge component model AB magnitude error
mag_err_model_bulge_uvista-j	Bulge component model AB magnitude error
mag_err_model_bulge_uvista-h	Bulge component model AB magnitude error
mag_err_model_bulge_uvista-ks	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ia484	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ia527	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ia624	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ia679	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ia738	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ia767	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ib427	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ib505	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ib574	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ib709	Bulge component model AB magnitude error
mag_err_model_bulge_sc-ib827	Bulge component model AB magnitude error
mag_err_model_bulge_sc-nb711	Bulge component model AB magnitude error
mag_err_model_bulge_sc-nb816	Bulge component model AB magnitude error
mag_model_disk_hst-f814w	Disk component model AB magnitude
mag_model_disk_f770w	Disk component model AB magnitude
mag_model_disk_cfht-u	Disk component model AB magnitude
mag_model_disk_hsc-g	Disk component model AB magnitude
mag_model_disk_hsc-r	Disk component model AB magnitude
mag_model_disk_hsc-i	Disk component model AB magnitude
mag_model_disk_hsc-z	Disk component model AB magnitude
mag_model_disk_hsc-y	Disk component model AB magnitude
mag_model_disk_hsc-nb0816	Disk component model AB magnitude
mag_model_disk_hsc-nb0921	Disk component model AB magnitude
mag_model_disk_hsc-nb1010	Disk component model AB magnitude
mag_model_disk_uvista-y	Disk component model AB magnitude
mag_model_disk_uvista-j	Disk component model AB magnitude
mag_model_disk_uvista-h	Disk component model AB magnitude
mag_model_disk_uvista-ks	Disk component model AB magnitude
mag_model_disk_sc-ia484	Disk component model AB magnitude
mag_model_disk_sc-ia527	Disk component model AB magnitude
mag_model_disk_sc-ia624	Disk component model AB magnitude
mag_model_disk_sc-ia679	Disk component model AB magnitude
mag_model_disk_sc-ia738	Disk component model AB magnitude
mag_model_disk_sc-ia767	Disk component model AB magnitude
mag_model_disk_sc-ib427	Disk component model AB magnitude
mag_model_disk_sc-ib505	Disk component model AB magnitude
mag_model_disk_sc-ib574	Disk component model AB magnitude
mag_model_disk_sc-ib709	Disk component model AB magnitude
mag_model_disk_sc-ib827	Disk component model AB magnitude
mag_model_disk_sc-nb711	Disk component model AB magnitude
mag_model_disk_sc-nb816	Disk component model AB magnitude
mag_err_model_disk_hst-f814w	Disk component model AB magnitude error
mag_err_model_disk_f770w	Disk component model AB magnitude error
mag_err_model_disk_cfht-u	Disk component model AB magnitude error
mag_err_model_disk_hsc-g	Disk component model AB magnitude error
mag_err_model_disk_hsc-r	Disk component model AB magnitude error
mag_err_model_disk_hsc-i	Disk component model AB magnitude error
mag_err_model_disk_hsc-z	Disk component model AB magnitude error
mag_err_model_disk_hsc-y	Disk component model AB magnitude error
mag_err_model_disk_hsc-nb0816	Disk component model AB magnitude error
mag_err_model_disk_hsc-nb0921	Disk component model AB magnitude error
mag_err_model_disk_hsc-nb1010	Disk component model AB magnitude error
mag_err_model_disk_uvista-y	Disk component model AB magnitude error
mag_err_model_disk_uvista-j	Disk component model AB magnitude error
mag_err_model_disk_uvista-h	Disk component model AB magnitude error
mag_err_model_disk_uvista-ks	Disk component model AB magnitude error
mag_err_model_disk_sc-ia484	Disk component model AB magnitude error
mag_err_model_disk_sc-ia527	Disk component model AB magnitude error
mag_err_model_disk_sc-ia624	Disk component model AB magnitude error
mag_err_model_disk_sc-ia679	Disk component model AB magnitude error
