Photometry (PSF-homogenized Aperture and SE++ Model-Based)
Column Name	Description
flag_blend	Flag if kron aperture correction >3, i.e. source is blended in F444W
ra_model	Right ascension of the modeled source
dec_model	Right ascension in the modeled source
radius_sersic	Effective radius of the Sersic model [deg]
radius_sersic_err	Effective radius error of the Sersic model [deg]
axratio_sersic	Axis ratio of the Sersic model
axratio_sersic_err	Axis ratio error of the Sersic model [deg]
sersic	Sersic index
sersic_err	Sersic index error
angle_sersic	Angle of the Sersic model in world coordinates
angle_sersic_err	Angle error of the Sersic model in world coordinates
e1	Ellipticity component 1
e1_err	Ellipticity component 1 error
e2	Ellipticity component 2
e2_err	Ellipticity component 2 error
fmf_chi2	Reduced chi^2 of the model
group_id	ID of the group of sources that is fitted together
mag_model_f115w	Sersic model total AB magnitude
mag_model_f150w	Sersic model total AB magnitude
mag_model_f277w	Sersic model total AB magnitude
mag_model_f444w	Sersic model total AB magnitude
mag_model_hst-f814w	Sersic model total AB magnitude
mag_model_f770w	Sersic model total AB magnitude
mag_model_cfht-u	Sersic model total AB magnitude
mag_model_hsc-g	Sersic model total AB magnitude
mag_model_hsc-r	Sersic model total AB magnitude
mag_model_hsc-i	Sersic model total AB magnitude
mag_model_hsc-z	Sersic model total AB magnitude
mag_model_hsc-y	Sersic model total AB magnitude
mag_model_hsc-nb0816	Sersic model total AB magnitude
mag_model_hsc-nb0921	Sersic model total AB magnitude
mag_model_hsc-nb1010	Sersic model total AB magnitude
mag_model_uvista-y	Sersic model total AB magnitude
mag_model_uvista-j	Sersic model total AB magnitude
mag_model_uvista-h	Sersic model total AB magnitude
mag_model_uvista-ks	Sersic model total AB magnitude
mag_model_uvista-nb118	Sersic model total AB magnitude
mag_model_sc-ia484	Sersic model total AB magnitude
mag_model_sc-ia527	Sersic model total AB magnitude
mag_model_sc-ia624	Sersic model total AB magnitude
mag_model_sc-ia679	Sersic model total AB magnitude
mag_model_sc-ia738	Sersic model total AB magnitude
mag_model_sc-ia767	Sersic model total AB magnitude
mag_model_sc-ib427	Sersic model total AB magnitude
mag_model_sc-ib505	Sersic model total AB magnitude
mag_model_sc-ib574	Sersic model total AB magnitude
mag_model_sc-ib709	Sersic model total AB magnitude
mag_model_sc-ib827	Sersic model total AB magnitude
mag_model_sc-nb711	Sersic model total AB magnitude
mag_model_sc-nb816	Sersic model total AB magnitude
mag_model_irac-ch1	Sersic model total AB magnitude
mag_model_irac-ch2	Sersic model total AB magnitude
mag_model_irac-ch3	Sersic model total AB magnitude
mag_model_irac-ch4	Sersic model total AB magnitude
mag_err_model_f115w	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_f150w	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_f277w	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_f444w	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hst-f814w	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_f770w	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_cfht-u	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-g	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-r	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-i	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-z	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-y	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-nb0816	Sersic model total AB magnitude uncertainty (uncalibrated)
mag_err_model_hsc-nb0921	Sersic model total AB magnitude uncertainty (uncalibrated)
