B+D (v1.1, from COSMOSWeb_mastercatalog_v1.1_bulgedisk.fits, 784016 rows)
Column Name	Format	Unit
mag_err_model_bulge_sc-ia679	D	
mag_err_model_bulge_sc-ia738	D	
mag_err_model_bulge_sc-ia767	D	
mag_err_model_bulge_sc-ib427	D	
mag_err_model_bulge_sc-ib505	D	
mag_err_model_bulge_sc-ib574	D	
mag_err_model_bulge_sc-ib709	D	
mag_err_model_bulge_sc-ib827	D	
mag_err_model_bulge_sc-nb711	D	
mag_err_model_bulge_sc-nb816	D	
mag_model_disk_hst-f814w	D	
mag_model_disk_f770w	D	
mag_model_disk_cfht-u	D	
mag_model_disk_hsc-g	D	
mag_model_disk_hsc-r	D	
mag_model_disk_hsc-i	D	
mag_model_disk_hsc-z	D	
mag_model_disk_hsc-y	D	
mag_model_disk_hsc-nb0816	D	
mag_model_disk_hsc-nb0921	D	
mag_model_disk_hsc-nb1010	D	
mag_model_disk_uvista-y	D	
mag_model_disk_uvista-j	D	
mag_model_disk_uvista-h	D	
mag_model_disk_uvista-ks	D	
mag_model_disk_sc-ia484	D	
mag_model_disk_sc-ia527	D	
mag_model_disk_sc-ia624	D	
mag_model_disk_sc-ia679	D	
mag_model_disk_sc-ia738	D	
mag_model_disk_sc-ia767	D	
mag_model_disk_sc-ib427	D	
mag_model_disk_sc-ib505	D	
mag_model_disk_sc-ib574	D	
mag_model_disk_sc-ib709	D	
mag_model_disk_sc-ib827	D	
mag_model_disk_sc-nb711	D	
mag_model_disk_sc-nb816	D	
mag_err_model_disk_hst-f814w	D	
mag_err_model_disk_f770w	D	
mag_err_model_disk_cfht-u	D	
mag_err_model_disk_hsc-g	D	
mag_err_model_disk_hsc-r	D	
mag_err_model_disk_hsc-i	D	
mag_err_model_disk_hsc-z	D	
mag_err_model_disk_hsc-y	D	
mag_err_model_disk_hsc-nb0816	D	
mag_err_model_disk_hsc-nb0921	D	
mag_err_model_disk_hsc-nb1010	D	
mag_err_model_disk_uvista-y	D	
mag_err_model_disk_uvista-j	D	
mag_err_model_disk_uvista-h	D	
mag_err_model_disk_uvista-ks	D	
mag_err_model_disk_sc-ia484	D	
mag_err_model_disk_sc-ia527	D	
mag_err_model_disk_sc-ia624	D	
mag_err_model_disk_sc-ia679	D	
mag_err_model_disk_sc-ia738	D	
mag_err_model_disk_sc-ia767	D	
mag_err_model_disk_sc-ib427	D	
mag_err_model_disk_sc-ib505	D	
mag_err_model_disk_sc-ib574	D	
mag_err_model_disk_sc-ib709	D	
mag_err_model_disk_sc-ib827	D	
mag_err_model_disk_sc-nb711	D	
mag_err_model_disk_sc-nb816	D	
flux_model_bd_total_hst-f814w	D	
flux_model_bd_total_f770w	D	
flux_model_bd_total_cfht-u	D	
flux_model_bd_total_hsc-g	D	
flux_model_bd_total_hsc-r	D	
flux_model_bd_total_hsc-i	D	
flux_model_bd_total_hsc-z	D	
flux_model_bd_total_hsc-y	D	
flux_model_bd_total_hsc-nb0816	D	
flux_model_bd_total_hsc-nb0921	D	
flux_model_bd_total_hsc-nb1010	D	
flux_model_bd_total_uvista-y	D	
flux_model_bd_total_uvista-j	D	
flux_model_bd_total_uvista-h	D	
flux_model_bd_total_uvista-ks	D	
flux_model_bd_total_sc-ia484	D	
flux_model_bd_total_sc-ia527	D	
flux_model_bd_total_sc-ia624	D	
flux_model_bd_total_sc-ia679	D	
flux_model_bd_total_sc-ia738	D	
flux_model_bd_total_sc-ia767	D	
flux_model_bd_total_sc-ib427	D	
flux_model_bd_total_sc-ib505	D	
flux_model_bd_total_sc-ib574	D	
flux_model_bd_total_sc-ib709	D	
flux_model_bd_total_sc-ib827	D	
flux_model_bd_total_sc-nb711	D	
flux_model_bd_total_sc-nb816	D	
flux_err_model_bd_total_hst-f814w	D	
flux_err_model_bd_total_f770w	D	
flux_err_model_bd_total_cfht-u	D	
flux_err_model_bd_total_hsc-g	D	
flux_err_model_bd_total_hsc-r	D	
flux_err_model_bd_total_hsc-i	D	
flux_err_model_bd_total_hsc-z	D	
flux_err_model_bd_total_hsc-y	D	
flux_err_model_bd_total_hsc-nb0816	D	
flux_err_model_bd_total_hsc-nb0921	D	
flux_err_model_bd_total_hsc-nb1010	D	
flux_err_model_bd_total_uvista-y	D	
flux_err_model_bd_total_uvista-j	D	
flux_err_model_bd_total_uvista-h	D	
flux_err_model_bd_total_uvista-ks	D	
flux_err_model_bd_total_sc-ia484	D	
flux_err_model_bd_total_sc-ia527	D	
flux_err_model_bd_total_sc-ia624	D	
flux_err_model_bd_total_sc-ia679	D	
flux_err_model_bd_total_sc-ia738	D	
flux_err_model_bd_total_sc-ia767	D	
flux_err_model_bd_total_sc-ib427	D	
flux_err_model_bd_total_sc-ib505	D	
flux_err_model_bd_total_sc-ib574	D	
flux_err_model_bd_total_sc-ib709	D	
flux_err_model_bd_total_sc-ib827	D	
flux_err_model_bd_total_sc-nb711	D	
flux_err_model_bd_total_sc-nb816	D	
flux_model_bulge_hst-f814w	D	
flux_model_bulge_f770w	D	
flux_model_bulge_cfht-u	D	
flux_model_bulge_hsc-g	D	
flux_model_bulge_hsc-r	D	
flux_model_bulge_hsc-i	D	
flux_model_bulge_hsc-z	D	
flux_model_bulge_hsc-y	D	
flux_model_bulge_hsc-nb0816	D	
flux_model_bulge_hsc-nb0921	D	
flux_model_bulge_hsc-nb1010	D	
flux_model_bulge_uvista-y	D	
flux_model_bulge_uvista-j	D	
flux_model_bulge_uvista-h	D	
flux_model_bulge_uvista-ks	D	
flux_model_bulge_sc-ia484	D	
flux_model_bulge_sc-ia527	D	
flux_model_bulge_sc-ia624	D	
flux_model_bulge_sc-ia679	D	
flux_model_bulge_sc-ia738	D	
flux_model_bulge_sc-ia767	D	
flux_model_bulge_sc-ib427	D	
flux_model_bulge_sc-ib505	D	
flux_model_bulge_sc-ib574	D	
flux_model_bulge_sc-ib709	D	
flux_model_bulge_sc-ib827	D	
flux_model_bulge_sc-nb711	D	
flux_model_bulge_sc-nb816	D	
flux_err_model_bulge_hst-f814w	D	
flux_err_model_bulge_f770w	D	
flux_err_model_bulge_cfht-u	D	
flux_err_model_bulge_hsc-g	D	
flux_err_model_bulge_hsc-r	D	
flux_err_model_bulge_hsc-i	D	
flux_err_model_bulge_hsc-z	D	
flux_err_model_bulge_hsc-y	D	
flux_err_model_bulge_hsc-nb0816	D	
flux_err_model_bulge_hsc-nb0921	D	
flux_err_model_bulge_hsc-nb1010	D	
flux_err_model_bulge_uvista-y	D	
flux_err_model_bulge_uvista-j	D	
flux_err_model_bulge_uvista-h	D	
flux_err_model_bulge_uvista-ks	D	
flux_err_model_bulge_sc-ia484	D	
flux_err_model_bulge_sc-ia527	D	
flux_err_model_bulge_sc-ia624	D	
flux_err_model_bulge_sc-ia679	D	
flux_err_model_bulge_sc-ia738	D	
flux_err_model_bulge_sc-ia767	D	
flux_err_model_bulge_sc-ib427	D	
flux_err_model_bulge_sc-ib505	D	
flux_err_model_bulge_sc-ib574	D	
flux_err_model_bulge_sc-ib709	D	
flux_err_model_bulge_sc-ib827	D	
flux_err_model_bulge_sc-nb711	D	
flux_err_model_bulge_sc-nb816	D	
flux_model_disk_hst-f814w	D	
flux_model_disk_f770w	D	
flux_model_disk_cfht-u	D	
flux_model_disk_hsc-g	D	
flux_model_disk_hsc-r	D	
flux_model_disk_hsc-i	D	
flux_model_disk_hsc-z	D	
flux_model_disk_hsc-y	D	
flux_model_disk_hsc-nb0816	D	
flux_model_disk_hsc-nb0921	D	
flux_model_disk_hsc-nb1010	D	
flux_model_disk_uvista-y	D	
flux_model_disk_uvista-j	D	
flux_model_disk_uvista-h	D	
flux_model_disk_uvista-ks	D	
flux_model_disk_sc-ia484	D	
flux_model_disk_sc-ia527	D	
flux_model_disk_sc-ia624	D	
flux_model_disk_sc-ia679	D	
flux_model_disk_sc-ia738	D	
flux_model_disk_sc-ia767	D	
flux_model_disk_sc-ib427	D	
flux_model_disk_sc-ib505	D	
flux_model_disk_sc-ib574	D	
flux_model_disk_sc-ib709	D	
flux_model_disk_sc-ib827	D	
flux_model_disk_sc-nb711	D	
flux_model_disk_sc-nb816	D	
flux_err_model_disk_hst-f814w	D	
flux_err_model_disk_f770w	D	
flux_err_model_disk_cfht-u	D	
flux_err_model_disk_hsc-g	D	
flux_err_model_disk_hsc-r	D	
flux_err_model_disk_hsc-i	D	
flux_err_model_disk_hsc-z	D	
flux_err_model_disk_hsc-y	D	
flux_err_model_disk_hsc-nb0816	D	
flux_err_model_disk_hsc-nb0921	D	
flux_err_model_disk_hsc-nb1010	D	
