 Non-PSF-homogenized Aperture Photometry
Click to expand
Column Name	Description
mag_err_aper_f770w	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_cfht-u	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-g	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-r	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-i	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-z	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-y	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-nb0816	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-nb0921	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_hsc-nb1010	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_uvista-y	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_uvista-j	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_uvista-h	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_uvista-ks	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_uvista-nb118	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
mag_err_aper_sc-ia484	Non PSF homogenized aperture magnitude uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [AB mag]
