GALIGHT-MORPHO (v1.1, from COSMOSWeb_mastercatalog_v1.1_galight_morph.fits, 784016 rows)
Column Name	Format	Unit
nsersic_host_f444w_ps_err	D	
rearc_host_f444w_ps_err	D	
mag_host_f444w_ps_err	D	
qratio_host_f444w_ps_err	D	
phi_host_f444w_ps_err	D	
bic_f444w_sersic	D	
reduced_Chisq_f444w_sersic	D	
bic_list_f444w_bd	D	
reduced_Chisq_list_f444w_bd	D	
bic_list_f444w_ps	D	
reduced_Chisq_list_f444w_ps	D	
asymmetry_f444w	D	
smoothness_f444w	D	
concentration_f444w	D	
gini_f444w	D	
m20_f444w	D	
cas_flag_f444w	D	
