Machine Learning Morphological Classification
Click to expand
Column Name	Description
sph_2_f444w	Probability of being classified as Spheroid in F444W filter, bin 2/10
disk_2_f444w	Probability of being classified as Disk in F444W filter, bin 2/10
irr_2_f444w	Probability of being classified as Irregular in F444W filter, bin 2/10
bd_2_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 2/10
sph_3_f444w	Probability of being classified as Spheroid in F444W filter, bin 3/10
disk_3_f444w	Probability of being classified as Disk in F444W filter, bin 3/10
irr_3_f444w	Probability of being classified as Irregular in F444W filter, bin 3/10
bd_3_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 3/10
sph_4_f444w	Probability of being classified as Spheroid in F444W filter, bin 4/10
disk_4_f444w	Probability of being classified as Disk in F444W filter, bin 4/10
irr_4_f444w	Probability of being classified as Irregular in F444W filter, bin 4/10
bd_4_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 4/10
sph_5_f444w	Probability of being classified as Spheroid in F444W filter, bin 5/10
disk_5_f444w	Probability of being classified as Disk in F444W filter, bin 5/10
irr_5_f444w	Probability of being classified as Irregular in F444W filter, bin 5/10
bd_5_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 5/10
sph_6_f444w	Probability of being classified as Spheroid in F444W filter, bin 6/10
disk_6_f444w	Probability of being classified as Disk in F444W filter, bin 6/10
irr_6_f444w	Probability of being classified as Irregular in F444W filter, bin 6/10
bd_6_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 6/10
sph_7_f444w	Probability of being classified as Spheroid in F444W filter, bin 7/10
disk_7_f444w	Probability of being classified as Disk in F444W filter, bin 7/10
irr_7_f444w	Probability of being classified as Irregular in F444W filter, bin 7/10
bd_7_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 7/10
sph_8_f444w	Probability of being classified as Spheroid in F444W filter, bin 8/10
disk_8_f444w	Probability of being classified as Disk in F444W filter, bin 8/10
irr_8_f444w	Probability of being classified as Irregular in F444W filter, bin 8/10
bd_8_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 8/10
sph_9_f444w	Probability of being classified as Spheroid in F444W filter, bin 9/10
disk_9_f444w	Probability of being classified as Disk in F444W filter, bin 9/10
irr_9_f444w	Probability of being classified as Irregular in F444W filter, bin 9/10
bd_9_f444w	Probability of being classified as Bulge-dominated in F444W filter, bin 9/10
sph_f150w_mean	Mean probability of being classified as Spheroid in F150W filter
sph_f150w_std	Standard deviation of probability for Spheroid classification in F150W filter
disk_f150w_mean	Mean probability of being classified as Disk in F150W filter
disk_f150w_std	Standard deviation of probability for Disk classification in F150W filter
irr_f150w_mean	Mean probability of being classified as Irregular in F150W filter
irr_f150w_std	Standard deviation of probability for Irregular classification in F150W filter
